Date,Team,Opponent,Player,Fantasy,Goals,Behinds,Disposals,Kicks,Handballs,Marks,Tackles,Hit Outs,Clearances,Metres Gained,Goal Assists,Time on Ground %,Venue,Team Win Odds,Timeslot,Game Result,Conditions,Final
2024-03-07,Sydney,Dees,Joel Amartey,23,0,1,3,3,0,1,2,2,0,79,0,43,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Nick Blakey,99,0,0,26,18,8,9,0,0,0,530,2,78,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Braeden Campbell,74,0,0,16,12,4,7,2,0,1,378,0,68,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Harry Cunningham,92,0,0,18,14,4,10,3,0,1,253,0,83,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Oliver Florent,69,1,0,18,10,8,3,2,0,3,374,0,91,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Robbie Fox,57,1,1,9,6,3,2,6,0,1,90,0,91,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Brodie Grundy,118,0,0,23,12,11,4,6,33,9,254,0,78,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Errol Gulden,69,0,1,20,16,4,2,2,0,2,442,0,89,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Will Hayward,60,2,0,10,8,2,4,2,0,0,196,0,83,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Isaac Heeney,121,1,1,26,17,9,5,7,0,13,620,1,79,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,James Jordon,76,0,0,18,8,10,3,7,0,2,158,0,71,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Jake Lloyd,56,0,0,13,8,5,5,2,0,0,143,0,83,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Tom McCartin,46,0,0,9,7,2,7,0,0,0,92,0,97,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Logan McDonald,37,1,0,8,5,3,3,1,0,0,190,0,83,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Justin McInerney,79,1,0,20,7,13,6,4,1,1,129,0,86,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Hayden McLean,40,2,2,5,4,1,2,2,10,0,150,0,76,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Lewis Melican,20,0,0,5,4,1,2,0,0,0,48,0,80,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Tom Papley,87,1,1,20,15,5,4,3,0,3,405,0,81,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Dane Rampe,70,0,0,19,13,6,6,0,0,0,519,0,87,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Matt Roberts,91,0,0,19,16,3,8,3,0,0,261,0,84,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,James Rowbottom,77,0,2,21,12,9,0,7,0,6,343,0,79,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Chad Warner,88,1,1,26,17,9,4,1,0,2,588,2,81,SCG,1.82,Night,Win,Dry,No
2024-03-07,Sydney,Dees,Sam Wicks,25,1,0,5,2,3,2,1,0,1,48,0,30,SCG,1.82,Night,Win,Dry,No
2024-03-07,Dees,Sydney,Jack Billings,10,0,0,2,1,1,0,2,0,0,38,0,38,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Jake Bowey,54,0,0,14,13,1,3,1,0,0,251,0,48,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Kade Chandler,44,0,0,11,4,7,2,3,0,0,146,0,82,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Bayley Fritsch,59,4,1,6,6,0,2,3,0,0,184,0,92,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Max Gawn,87,0,1,14,8,6,1,4,37,2,38,0,82,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Blake Howes,74,0,0,17,9,8,7,3,0,0,224,0,74,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Ed Langdon,79,1,0,19,10,9,4,3,0,0,363,0,90,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Bailey Laurie,26,0,0,8,3,5,1,1,0,0,78,0,42,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Jake Lever,48,0,0,12,9,3,6,0,0,0,319,0,100,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Steven May,81,0,0,21,14,7,5,2,0,0,348,0,90,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Judd McVee,73,0,0,20,14,6,6,0,0,3,390,1,78,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Alex Neal-Bullen,68,0,1,15,6,9,2,6,0,3,140,0,83,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Clayton Oliver,89,0,0,30,18,12,2,2,0,6,417,1,82,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Christian Petracca,87,1,2,26,11,15,1,3,0,3,326,1,84,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Trent Rivers,53,0,0,17,10,7,4,0,0,1,304,0,80,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Christian Salem,95,0,0,27,20,7,5,3,0,5,558,0,80,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Josh Schache,29,0,2,4,3,1,2,2,1,0,62,0,76,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Charlie Spargo,36,0,1,12,5,7,1,2,0,0,134,0,77,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Tom Sparrow,63,0,0,13,3,10,2,9,0,3,103,0,80,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Adam Tomlinson,53,0,0,12,10,2,3,2,0,0,267,0,100,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Jacob van Rooyen,45,1,0,10,3,7,2,3,0,0,111,0,83,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Jack Viney,123,2,0,30,19,11,2,7,0,7,625,1,79,SCG,1.97,Night,Loss,Dry,No
2024-03-07,Dees,Sydney,Caleb Windsor,45,0,0,13,6,7,0,4,0,1,118,1,81,SCG,1.97,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Callum Ah Chee,76,1,0,16,11,5,6,3,0,2,331,0,78,Brisbane,1.28,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Harris Andrews,73,0,0,15,12,3,7,2,0,0,280,0,96,Brisbane,1.28,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Zac Bailey,81,1,0,15,12,3,4,5,0,4,319,0,77,Brisbane,1.28,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Jarrod Berry,60,0,0,17,11,6,5,0,0,1,294,0,77,Brisbane,1.28,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Charlie Cameron,60,2,3,10,8,2,3,3,0,1,182,0,89,Brisbane,1.28,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Keidean Coleman,34,0,0,8,6,2,4,0,0,0,141,2,44,Brisbane,1.28,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Joe Daniher,59,1,2,14,11,3,5,0,3,1,433,1,95,Brisbane,1.28,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Josh Dunkley,104,0,0,21,11,10,5,9,0,2,293,0,82,Brisbane,1.28,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Jaspa Fletcher,39,0,0,10,3,7,5,1,0,0,159,0,81,Brisbane,1.28,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Darcy Gardiner,36,0,0,11,3,8,2,2,0,0,140,1,76,Brisbane,1.28,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Eric Hipwood,56,1,2,9,9,0,6,1,0,0,255,0,83,Brisbane,1.28,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Ryan Lester,68,0,0,15,12,3,6,2,0,1,255,0,87,Brisbane,1.28,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Kai Lohmann,28,0,0,6,4,2,4,0,0,0,134,0,36,Brisbane,1.28,Night,Loss,Dry,No
2024-03-08,Brisbane,Carlton,Jarryd Lyons,94,0,0,19,10,9,5,9,0,1,258,1,70,Brisbane,1.28,Night,Loss,Dry,No
