Date,Venue,Home Team,Away Team,Timeslot
31/7/2025,Docklands,Bulldogs,GWS,Night
1/8/2025,Adelaide,Adelaide,Hawthorn,Night
2/8/2025,Docklands,Dees,Eagles,Day
2/8/2025,Gold Coast,Suns,Richmond,Twilight
2/8/2025,SCG,Sydney,Essendon,Twilight
2/8/2025,MCG,Collingwood,Brisbane,Night
3/8/2025,Docklands,Saints,Norf,Day
3/8/2025,Geelong,Geelong,Port,Day
3/8/2025,Perth,Fremantle,Carlton,Day
7/8/2025,MCG,Hawthorn,Collingwood,Night
8/8/2025,Geelong,Geelong,Essendon,Night
9/8/2025,MCG,Richmond,Saints,Day
9/8/2025,Brisbane,Brisbane,Sydney,Twilight
9/8/2025,Docklands,Carlton,Suns,Night
9/8/2025,Adelaide,Port,Fremantle,Night
10/8/2025,Canberra,GWS,Norf,Day
10/8/2025,MCG,Dees,Bulldogs,Day
10/8/2025,Perth,Eagles,Adelaide,Day
15/8/2025,Docklands,Essendon,Saints,Night
15/8/2025,Perth,Fremantle,Brisbane,Twilight
16/8/2025,Gold Coast,Suns,GWS,Day
16/8/2025,Docklands,Carlton,Port,Day
16/8/2025,MCG,Hawthorn,Dees,Twilight
16/8/2025,Adelaide,Adelaide,Collingwood,Night
17/8/2025,Hobart,Norf,Richmond,Day
17/8/2025,SCG,Sydney,Geelong,Day
17/8/2025,Docklands,Bulldogs,Eagles,Twilight
21/8/2025,MCG,Essendon,Carlton,Night
22/8/2025,MCG,Collingwood,Dees,Night
22/8/2025,Adelaide,Port,Suns,Night
23/8/2025,Docklands,Norf,Adelaide,Day
23/8/2025,MCG,Richmond,Geelong,Twilight
23/8/2025,Perth,Eagles,Sydney,Night
24/8/2025,Engie,GWS,Saints,Day
24/8/2025,Docklands,Bulldogs,Fremantle,Day
24/8/2025,Brisbane,Brisbane,Hawthorn,Night
27/8/2025,Gold Coast,Suns,Essendon,Night
