feature,coef_mean,coef_std,abs_coef_mean,rank_coef
home_edge,0.6158654596338758,0.20747084429482945,0.6158654596338758,1
elo_diff,0.2938537568492418,0.12982552899424293,0.2938537568492418,2
disposals_avg_last_5_diff5,0.2882729997037137,0.1409989887942251,0.2882729997037137,3
rd_diff,-0.2666311919667007,0.043257107744199906,0.2666311919667007,4
marks_matchup5,0.26403520105139955,0.13232350581843969,0.26403520105139955,5
tackles_avg_last_5_diff5,0.2123251747689932,0.2046375241678368,0.24526767176354652,6
secondary_home_edge,0.23728519471762452,0.11400001464314492,0.23728519471762452,7
ts_night,-0.19912355954595523,0.09127796347344805,0.19912355954595523,8
clearances_avg_last_5_diff5,0.19009745513952658,0.10741541333329059,0.19009745513952658,9
marks_avg_last_5_diff5,-0.052530219497885146,0.2865674436281808,0.1818807462472913,10
ts_twilight,0.1813399600298547,0.08511141427368939,0.1813399600298547,11
rest_diff,0.10025078360087351,0.20172353387826508,0.17171104188543249,12
interstate_edge,0.06940182033243122,0.2411986054163441,0.17074595433635362,13
disp_matchup5,-0.1624529083947915,0.09034670934302354,0.1624529083947915,14
tack_matchup5,-0.12031556528398005,0.11677421338547814,0.14809329604433882,15
turnovers_avg_last_5_diff5,-0.1426178324336908,0.019548092041799758,0.1426178324336908,16
inside50_avg_last_5_diff5,0.09284785310255027,0.10283317762199957,0.10940677674935091,17
free_kicks_avg_last_5_diff5,0.022528659664334448,0.12918749904861215,0.09597657581026114,18
glicko_diff,0.08898548040625046,0.08686406662435375,0.0946293683149861,19
vol_diff,0.03959554997214967,0.10293107278806471,0.09414522624472618,20
clear_matchup5,-0.040694828099724016,0.11547855641556187,0.09105463024030111,21
score_avg_last_5_diff5,0.08015007869720273,0.09884090232174174,0.08665861579059358,22
elo_exp,0.05315579949257776,0.05324258832639628,0.05315579949257776,23
ts_day,0.04526090149489141,0.02217585100799871,0.04526090149489141,24
ts_unknown,0.0,0.0,0.0,25
