bin_left,bin_right,n,pred_mean,observed_rate
-0.001,0.1,85,0.012145432992362431,0.43529411764705883
0.1,0.2,25,0.14881470886910927,0.28
0.2,0.3,32,0.25010507498412865,0.28125
0.3,0.4,33,0.352274024311858,0.42424242424242425
0.4,0.5,43,0.4515986931706711,0.46511627906976744
0.5,0.6,39,0.5488610511727644,0.5128205128205128
0.6,0.7,43,0.6507453283579558,0.7906976744186046
0.7,0.8,53,0.7553582494060928,0.660377358490566
0.8,0.9,28,0.8536321886409127,0.8928571428571429
0.9,1.0,29,0.948736441135202,0.8275862068965517
